pclass	age	sex	survived
2nd	adult	female	true
1st	adult	male	true
crew	adult	male	false
crew	adult	male	true
1st	adult	female	false
3rd	adult	male	false
2nd	adult	male	false
crew	adult	male	false
2nd	adult	male	false
3rd	adult	male	false
3rd	adult	female	true
3rd	adult	male	true
3rd	adult	female	true
1st	adult	male	false
2nd	adult	male	true
crew	adult	male	true
1st	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	female	true
3rd	child	male	false
1st	adult	male	false
3rd	adult	female	false
crew	adult	male	false
crew	adult	male	false
1st	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	female	true
3rd	adult	female	false
3rd	adult	female	true
3rd	adult	female	true
3rd	adult	male	false
crew	adult	male	false
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
crew	adult	male	false
2nd	adult	male	false
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	female	false
3rd	adult	female	true
crew	adult	male	false
3rd	adult	female	false
1st	adult	female	true
crew	adult	male	false
1st	adult	female	true
3rd	adult	male	false
1st	adult	male	false
3rd	adult	female	true
crew	adult	male	true
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	male	true
3rd	child	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	true
2nd	adult	male	false
1st	adult	male	false
1st	adult	male	false
crew	adult	male	true
3rd	adult	male	false
crew	adult	male	false
1st	adult	male	true
crew	adult	male	false
2nd	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	female	true
3rd	adult	female	true
crew	adult	male	false
3rd	adult	male	false
crew	adult	male	false
2nd	adult	female	true
2nd	adult	male	false
3rd	adult	male	false
2nd	adult	female	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	true
crew	adult	male	false
crew	adult	male	true
crew	adult	male	false
2nd	adult	male	false
crew	adult	male	false
crew	adult	male	true
1st	adult	female	true
1st	adult	female	true
crew	adult	male	true
3rd	adult	male	false
crew	adult	female	true
3rd	adult	male	false
1st	adult	male	false
crew	adult	male	false
2nd	adult	male	false
2nd	adult	male	false
1st	adult	female	true
1st	adult	male	false
3rd	adult	male	false
1st	adult	male	false
crew	adult	male	false
2nd	adult	male	false
crew	adult	male	true
crew	adult	male	false
crew	adult	male	true
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	true
crew	adult	male	false
crew	adult	male	false
2nd	adult	female	true
crew	adult	male	true
crew	adult	male	false
3rd	adult	male	false
crew	adult	male	true
1st	adult	female	true
crew	adult	male	false
1st	adult	male	false
crew	adult	male	true
3rd	adult	female	true
crew	adult	male	false
3rd	adult	male	true
crew	adult	male	true
2nd	adult	male	false
crew	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
1st	adult	female	true
1st	adult	male	false
crew	adult	male	false
crew	adult	male	true
3rd	adult	male	false
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	male	false
3rd	adult	male	true
crew	adult	male	false
3rd	adult	male	false
crew	adult	male	false
1st	adult	male	false
crew	adult	male	true
crew	adult	male	true
crew	adult	male	false
crew	adult	male	false
3rd	child	male	false
2nd	adult	male	false
crew	adult	male	false
3rd	adult	male	true
3rd	adult	male	false
3rd	adult	female	true
crew	adult	male	false
1st	adult	male	false
3rd	child	male	false
crew	adult	male	false
2nd	child	female	true
crew	adult	male	false
crew	adult	male	true
3rd	adult	male	true
1st	adult	male	false
crew	adult	male	false
1st	adult	female	true
3rd	adult	male	false
2nd	adult	male	false
crew	adult	male	false
3rd	adult	female	false
3rd	adult	male	false
2nd	adult	male	false
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	false
1st	adult	female	true
1st	adult	female	true
crew	adult	male	false
crew	adult	male	false
1st	child	male	true
3rd	adult	male	false
crew	adult	male	false
2nd	child	female	true
1st	adult	male	false
crew	adult	male	false
2nd	adult	male	false
3rd	adult	male	false
3rd	adult	male	true
crew	adult	male	false
3rd	adult	male	false
crew	adult	male	false
1st	adult	male	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	true
3rd	adult	male	false
2nd	adult	female	false
crew	adult	male	true
crew	adult	male	true
3rd	adult	male	false
crew	adult	male	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	male	true
crew	adult	male	true
1st	adult	male	false
3rd	adult	female	false
3rd	adult	female	false
3rd	adult	male	false
2nd	adult	male	false
crew	adult	male	true
crew	adult	male	false
2nd	adult	male	false
3rd	adult	male	false
2nd	child	female	true
3rd	adult	male	false
3rd	adult	female	true
2nd	adult	female	true
1st	adult	male	true
3rd	adult	female	true
crew	adult	male	false
1st	adult	female	true
crew	adult	male	true
2nd	adult	male	false
3rd	adult	male	true
2nd	adult	female	true
1st	adult	female	true
crew	adult	male	false
crew	adult	male	false
2nd	adult	female	false
3rd	adult	female	true
3rd	adult	male	false
1st	adult	female	true
1st	adult	male	true
1st	adult	female	true
crew	adult	male	false
crew	adult	male	false
1st	adult	male	false
3rd	child	female	false
crew	adult	male	true
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	true
1st	adult	male	true
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	false
crew	adult	male	true
1st	adult	female	true
crew	adult	male	false
2nd	adult	male	false
2nd	child	female	true
3rd	child	male	false
crew	adult	male	false
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	true
crew	adult	male	false
1st	adult	female	true
2nd	adult	male	false
2nd	adult	female	false
3rd	adult	male	false
3rd	adult	female	true
crew	adult	male	false
3rd	adult	male	false
1st	adult	male	true
crew	adult	male	false
crew	adult	male	false
2nd	adult	male	false
crew	adult	male	false
3rd	adult	male	false
2nd	adult	male	false
crew	adult	male	false
3rd	adult	male	false
2nd	adult	male	false
1st	adult	male	true
3rd	adult	male	false
crew	adult	male	false
3rd	adult	male	true
crew	adult	male	true
2nd	adult	male	false
crew	adult	male	false
3rd	child	male	false
crew	adult	male	false
1st	adult	female	true
crew	adult	male	true
3rd	child	female	false
crew	adult	male	false
1st	adult	male	false
3rd	adult	male	false
2nd	adult	male	false
3rd	adult	female	false
2nd	adult	male	false
3rd	adult	male	true
1st	adult	female	true
3rd	adult	female	true
crew	adult	male	false
3rd	adult	female	true
3rd	child	male	false
crew	adult	male	true
crew	adult	male	false
crew	adult	male	true
crew	adult	male	true
crew	adult	male	false
1st	adult	female	true
3rd	child	male	true
3rd	adult	male	false
crew	adult	male	false
3rd	adult	male	false
crew	adult	male	false
1st	adult	male	true
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	male	true
3rd	child	male	false
crew	adult	male	false
3rd	adult	female	true
crew	adult	male	true
crew	adult	male	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	true
3rd	adult	female	false
crew	adult	male	false
3rd	adult	male	false
3rd	adult	male	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	false
1st	adult	female	false
crew	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
3rd	adult	female	true
crew	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
1st	adult	male	false
1st	adult	male	false
3rd	adult	female	false
crew	adult	male	true
2nd	adult	male	false
1st	adult	female	true
crew	adult	male	true
2nd	adult	male	false
3rd	adult	male	false
1st	adult	female	true
1st	adult	female	true
3rd	child	male	true
3rd	adult	male	false
crew	adult	male	false
3rd	child	female	false
1st	child	male	true
1st	adult	male	true
crew	adult	male	true
crew	adult	male	false
2nd	adult	female	true
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
2nd	adult	male	false
1st	adult	male	true
crew	adult	male	false
3rd	adult	male	false
crew	adult	male	false
2nd	adult	male	true
3rd	adult	male	false
crew	adult	male	true
crew	adult	male	true
3rd	adult	male	false
2nd	adult	female	true
2nd	adult	female	true
1st	adult	male	false
crew	adult	male	false
1st	adult	female	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	true
1st	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
crew	adult	male	true
crew	adult	male	false
3rd	adult	female	false
1st	adult	male	false
crew	adult	male	false
2nd	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
2nd	adult	male	false
crew	adult	male	false
1st	adult	male	false
crew	adult	female	true
crew	adult	male	false
2nd	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
2nd	adult	male	false
3rd	child	female	false
crew	adult	male	true
crew	adult	female	true
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
1st	adult	female	true
crew	adult	male	false
3rd	child	female	false
crew	adult	male	false
2nd	adult	male	false
1st	adult	female	true
3rd	adult	male	false
3rd	adult	male	false
1st	adult	male	false
3rd	adult	female	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
2nd	adult	male	false
crew	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
2nd	adult	female	true
3rd	adult	female	true
2nd	adult	male	false
3rd	adult	female	true
crew	adult	male	false
crew	adult	male	false
3rd	adult	female	false
crew	adult	male	false
1st	adult	male	false
1st	adult	male	true
3rd	adult	male	false
2nd	adult	male	false
1st	adult	male	false
3rd	adult	male	false
1st	adult	female	true
2nd	adult	male	false
2nd	adult	female	true
2nd	adult	male	true
crew	adult	male	false
crew	adult	male	false
3rd	child	female	false
3rd	adult	male	false
1st	adult	female	true
crew	adult	male	true
crew	adult	male	false
3rd	adult	male	false
crew	adult	male	true
2nd	adult	male	false
crew	adult	male	true
3rd	adult	male	false
crew	adult	male	true
2nd	adult	male	false
2nd	adult	female	false
crew	adult	male	false
crew	adult	male	true
crew	adult	male	false
1st	adult	male	true
2nd	adult	female	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	true
3rd	adult	male	true
2nd	adult	male	true
3rd	adult	male	false
crew	adult	male	true
3rd	adult	male	false
2nd	adult	male	false
2nd	adult	male	false
crew	adult	male	false
2nd	adult	male	false
crew	adult	female	true
crew	adult	male	false
crew	adult	male	false
1st	adult	female	true
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
2nd	adult	male	false
crew	adult	male	false
3rd	adult	male	false
2nd	adult	male	false
3rd	adult	male	true
crew	adult	male	false
3rd	adult	female	false
crew	adult	male	false
2nd	adult	male	false
3rd	adult	male	false
crew	adult	male	false
1st	adult	male	false
3rd	adult	female	false
2nd	child	female	true
1st	adult	female	true
3rd	adult	male	false
2nd	adult	male	true
2nd	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	female	true
3rd	adult	male	false
3rd	adult	female	true
crew	adult	male	false
1st	adult	female	true
crew	adult	male	false
2nd	adult	male	false
3rd	adult	female	true
2nd	adult	female	false
crew	adult	male	false
3rd	child	female	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	male	true
crew	adult	male	true
3rd	adult	female	false
3rd	adult	male	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	true
crew	adult	male	true
3rd	adult	male	false
2nd	adult	female	true
3rd	adult	male	false
2nd	adult	female	true
3rd	adult	male	false
3rd	adult	male	false
crew	adult	female	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	male	false
crew	adult	male	false
3rd	adult	female	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	true
crew	adult	male	false
2nd	adult	female	true
1st	adult	female	true
3rd	adult	male	false
2nd	child	female	true
crew	adult	male	false
crew	adult	male	false
3rd	adult	female	false
3rd	adult	male	false
2nd	adult	female	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	true
1st	adult	female	true
crew	adult	male	false
2nd	adult	female	true
crew	adult	male	false
2nd	adult	male	false
1st	adult	male	true
3rd	child	male	false
3rd	adult	female	true
3rd	child	female	true
crew	adult	male	false
crew	adult	male	true
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
3rd	adult	female	false
3rd	adult	male	false
2nd	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
2nd	adult	female	true
crew	adult	male	true
1st	adult	female	true
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	false
3rd	adult	female	true
1st	adult	male	true
2nd	adult	female	false
1st	adult	male	false
3rd	adult	male	true
3rd	adult	male	true
crew	adult	male	true
crew	adult	male	false
crew	adult	male	false
1st	adult	female	true
crew	adult	male	false
crew	adult	male	false
2nd	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	true
crew	adult	male	false
3rd	child	male	true
crew	adult	male	false
crew	adult	male	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	male	true
crew	adult	male	true
2nd	adult	male	false
3rd	adult	male	false
2nd	adult	female	true
crew	adult	male	false
crew	adult	male	true
3rd	adult	male	false
2nd	adult	female	true
crew	adult	male	true
crew	adult	male	false
3rd	adult	female	false
3rd	adult	male	false
3rd	adult	male	false
1st	adult	female	true
1st	adult	female	true
1st	adult	female	true
crew	adult	male	false
2nd	adult	female	true
1st	adult	male	true
crew	adult	male	false
3rd	child	male	false
3rd	adult	male	true
3rd	adult	female	true
1st	adult	male	false
2nd	adult	male	false
3rd	adult	female	false
crew	adult	male	false
2nd	child	male	true
2nd	adult	male	false
1st	adult	female	true
2nd	adult	male	false
crew	adult	male	true
1st	adult	female	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	male	false
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	true
3rd	adult	male	false
1st	adult	female	true
crew	adult	male	false
3rd	child	female	false
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	male	false
crew	adult	male	false
3rd	adult	male	false
3rd	adult	male	true
crew	adult	male	false
1st	adult	male	true
2nd	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
crew	adult	male	true
crew	adult	male	false
3rd	adult	male	false
crew	adult	male	true
crew	adult	male	false
1st	adult	female	true
3rd	adult	male	false
3rd	adult	male	false
crew	adult	male	true
3rd	adult	male	false
3rd	adult	male	false
3rd	adult	female	true
3rd	adult	male	true
crew	adult	male	false
3rd	adult	male	false
3rd	adult	female	false
crew	adult	male	true
crew	adult	male	false
3rd	child	male	true
crew	adult	male	true
crew	adult	male	true
crew	adult	male	false
2nd	adult	male	false
1st	adult	female	true
crew	adult	male	false
3rd	adult	male	true
3rd	adult	female	true
2nd	adult	female	true
3rd	child	male	false
2nd	adult	female	true
crew	adult	male	false
1st	adult	male	false
3rd	child	male	false
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	female	false
3rd	adult	female	true
crew	adult	male	false
1st	adult	male	false
3rd	adult	female	false
3rd	child	female	true
crew	adult	male	false
crew	adult	male	true
crew	adult	male	false
3rd	adult	male	false
1st	adult	male	true
crew	adult	male	false
3rd	adult	female	true
3rd	adult	male	false
3rd	adult	male	false
1st	adult	female	true
3rd	adult	male	false
3rd	adult	male	true
crew	adult	female	true
1st	adult	male	false
crew	adult	male	false
2nd	adult	male	false
3rd	adult	male	false
3rd	adult	female	false
crew	adult	male	false
crew	adult	male	false
2nd	adult	male	true
crew	adult	male	false
crew	adult	male	false
1st	adult	male	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	false
3rd	adult	female	true
1st	adult	female	true
3rd	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	female	true
2nd	adult	male	true
2nd	adult	female	true
crew	adult	male	false
3rd	adult	female	false
crew	adult	male	false
crew	adult	male	false
1st	adult	female	true
3rd	adult	male	true
3rd	adult	female	false
2nd	adult	male	false
2nd	child	female	true
3rd	adult	male	false
3rd	adult	male	false
crew	adult	male	true
2nd	adult	male	false
3rd	adult	female	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	female	false
3rd	adult	male	false
3rd	adult	female	false
crew	adult	male	true
crew	adult	male	true
3rd	adult	female	false
1st	adult	female	true
crew	adult	male	false
3rd	adult	female	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	true
3rd	adult	female	false
2nd	adult	male	false
3rd	adult	female	true
3rd	adult	male	false
3rd	adult	male	false
1st	adult	male	true
crew	adult	male	false
1st	adult	male	true
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	true
crew	adult	male	false
crew	adult	male	false
3rd	adult	female	true
crew	adult	male	true
3rd	adult	male	true
3rd	adult	male	false
3rd	adult	female	false
2nd	adult	female	true
crew	adult	male	true
3rd	adult	male	false
crew	adult	male	false
1st	adult	male	false
2nd	child	male	true
crew	adult	male	false
1st	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	male	false
3rd	child	female	false
2nd	adult	female	true
3rd	adult	male	true
crew	adult	male	false
3rd	child	male	false
crew	adult	male	false
3rd	child	male	true
2nd	adult	male	false
2nd	adult	female	true
3rd	adult	male	false
3rd	adult	male	false
1st	adult	female	true
crew	adult	male	false
crew	adult	male	false
3rd	adult	female	true
2nd	adult	male	false
1st	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	true
crew	adult	male	false
3rd	adult	male	false
crew	adult	male	false
3rd	adult	male	true
3rd	adult	female	true
3rd	child	male	true
crew	adult	male	false
1st	adult	female	true
3rd	adult	male	true
3rd	adult	male	false
crew	adult	male	true
crew	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
2nd	adult	female	true
crew	adult	male	false
3rd	adult	female	false
crew	adult	male	true
3rd	child	male	true
crew	adult	male	false
crew	adult	male	false
2nd	child	female	true
crew	adult	male	false
1st	adult	male	true
3rd	adult	male	false
1st	adult	male	false
crew	adult	male	false
1st	adult	female	true
1st	adult	female	true
3rd	adult	male	false
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	male	true
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
crew	adult	male	true
crew	adult	male	false
1st	adult	male	false
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	false
3rd	adult	female	false
crew	adult	male	false
1st	adult	male	false
crew	adult	male	false
crew	adult	male	true
3rd	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
3rd	adult	male	false
crew	adult	male	false
crew	adult	male	true
1st	adult	female	true
crew	adult	female	true
crew	adult	male	false
crew	adult	male	false
3rd	adult	female	false
1st	child	female	true
2nd	adult	male	false
crew	adult	male	true
crew	adult	male	true
1st	adult	female	true
crew	adult	male	false
2nd	adult	female	true
crew	adult	male	true
1st	adult	male	false
crew	adult	male	false
3rd	adult	male	false
2nd	adult	male	false
crew	adult	male	false
2nd	adult	female	true
2nd	adult	male	false
crew	adult	male	true
crew	adult	male	false
crew	adult	male	false
3rd	adult	female	true
crew	adult	male	false
crew	adult	male	false
crew	adult	male	false
1st	adult	female	true
